Url,NameOfPainting,ArtistName,Size,Price,Views,Favorites,Medium,PaintingSurface,ArtistCountry,ShipmentMode,ArtistRecognition,Keywords,Date,Subject
"https://www.saatchiart.com/art/Painting-Grand-Canyon-Landscape-oil-Painting-Original-Handmade-One-of-a-Kind-Signed/503607/2438760/view","Grand Canyon Landscape oil Painting Original Handmade One of a Kind Signed","Vahe Yeremyan","945","917","1854","22","Oil","Canvas","United States","Featured in the Catalog","Ships in a cardboard box","oil on canvas., oil painting, North Rim, one of a kind, grand canyon, large size, original oil painting, impressionism, landscape","2015.04.16","Landscape"
"https://www.saatchiart.com/art/Painting-Aphrodite-With-Flamingo/822991/2966433/view","Aphrodite With Flamingo","Antonia Thompson","1552.36","1055","378","14","Acrylic","Canvas","United Kingdom","Artist featured in a collection","Ships in a cardboard box","painting, turquoise, heart painting, bright pink, colourful, Expressive Figure, dance, expressionism, figure, yoga art, metallics, movement","2016.02.03","Body"
"https://www.saatchiart.com/art/Painting-Frente-a-nadie/749844/2982908/view","Frente a nadie","Norberto Sayegh","1249.74","2190","159","13","Acrylic","Canvas","Spain","Artist featured in a collection","Ships in a cardboard box","fine art,  Abstract Expressionism, conceptual, expressionism, abstract","2013.12.31","Abstract"
"https://www.saatchiart.com/art/Painting-Waiting/295121/2429826/view","Waiting","Kate Fauvell","2880","6400","597","14","Acrylic","Canvas","United States","Artist featured in a collection","Ships in a crate","colorful, decorative, expressive, figurative, human, large","2012.12.31","People"
"https://www.saatchiart.com/art/Painting-abstract-17/335494/2741188/view","abstract 17","SANTHOSH C H","418","930","770","25","Acrylic","Canvas","India","Artist featured in a collection","Ships in a tube","acrylic, pink, blue, white, canvas, cream","2015.10.11","Abstract"
"https://www.saatchiart.com/art/Painting-Wedding-roses/678329/2358798/view","Wedding roses","Leon Art","906.24","7050","1008","53","Oil","Canvas","Germany","Artist featured in a collection","Ships in a cardboard box","red, rose, vase, dried, flower, gift, glass","2015.02.18","Floral"
"https://www.saatchiart.com/art/Painting-Untitled/560695/2700155/view","Untitled","Jon Cooper","165","240","1112","43","Watercolor, Pencil","Paper","Canada","Artist featured in a collection","Ships in a cardboard box","watercolor, portait, contemporary, drips, abstract","2015.11.01","Portrait"
"https://www.saatchiart.com/art/Painting-Vingslag-f-r-Skogen/874375/2932609/view","Vingslag för Skogen","Filippa Levemark","2789.52","3450","309","10","Oil","Canvas","Sweden","","Ships in a tube","owls, birds, wings, Powerfull, pastell, animal, dreamy, green, industrial, misty","2015.11.09","Nature"
"https://www.saatchiart.com/art/Painting-Equinox/36727/1416330/view","Equinox","Susan Cavaliere","556.96","580","1313","10","Oil","Canvas","United Kingdom","Artist featured in a collection","Ships in a cardboard box","spring, stylish, sunshine, surrealism, trees, equinox, abstract, light, oil","2015.12.31","Fantasy"
"https://www.saatchiart.com/art/Painting-Passage/93893/2603051/view",""Passage"","Aljona Shapovalova","1087.44","2750","387","20","Acrylic","Cardboard, Wood","Russia","Artist featured in a collection","Ships in a cardboard box","passage, railway, bridge, fields, landscape, loneliness","2011.02.14","Landscape"
"https://www.saatchiart.com/art/Painting-Migration-Enchanted/693863/3203418/view","Migration | Enchanted","M a r t y n o v a","1859.68","3310","1116","37","Oil, Watercolor","Canvas","United Kingdom","Featured in Inside The Studio","Ships in a crate","oversized, pink, sky, soft, skyscape, clouds, connection, dreamy, emerald, flying, green, large","2015.12.31","Abstract"
"https://www.saatchiart.com/art/Painting-Zoe/389236/3497905/view","Zoe","Catalin Ilinca","139.24","240","131","11","Acrylic","Canvas","Spain","Artist featured in a collection","Ships in a cardboard box","portrait, figure study, child, gaze, girl, head, little study","2016.12.31","Portrait"
"https://www.saatchiart.com/art/Painting-Mental-Landscape-XVI/301988/173953/view","Mental Landscape XVI","Jagoda Kaczmarczyk-Hudzik","1552.36","4410","2080","24","Oil","Canvas","Poland","Artist featured in a collection","Ships in a cardboard box","pipes, futuism, surrealism, steam punk, abstract, mental landscape, scrap yard, cyber punk, mechanism, monochromatic, organism","2007.02.10","Abstract"
"https://www.saatchiart.com/art/Painting-Red-Party-Dress/314982/3536617/view","Red Party Dress","Fiona Maclean","120","510","122","6","Watercolor","Paper","Australia","Featured in One to Watch","Ships in a tube","red, woman, women, gothic, party dress, fashion, feminine, girl, hair, hat, illustration, makeup","2015.12.31","Women"
"https://www.saatchiart.com/art/Painting-Langi-Ghiran-Series-18-32/599547/2841460/view","Langi Ghiran, Series 18 #32","Heather Goodwind","154","560","1155","29","Acrylic, Watercolor","Paper","United States","Featured in One to Watch","Ships in a cardboard box","pink, psychedelic, black, stripes, australia, eclipse, grey, intense, concentric circles, moon, mountains","2014.12.31","Landscape"
"https://www.saatchiart.com/art/Painting-Wild-as-the-Wind/692288/2351328/view","Wild as the Wind","Jacobina Trump","4968","6550","240","5","Oil","Canvas","United States","Artist featured in a collection","","Oil On Linen, florida, Seminoles, Sabal Palms, tropical scenes, goldleaf, historic, everglades, mysterious","2015.02.03","Botanic"
"https://www.saatchiart.com/art/Painting-Alphabet-sherbet-P-is-piano/394079/3111417/view","Alphabet sherbet P is piano.","Rie Kono","93.09","1340","289","3","Acrylic","Canvas","Japan","Featured in Inside The Studio","Ships in a cardboard box","piano, sky, angel, man, balloon","2013.12.31","Fantasy"
"https://www.saatchiart.com/art/Painting-Shades-of-spring/796177/3472539/view","Shades of spring","ANDREW VANDER","1044.3","900","107","3","Acrylic, Paint, Color","Canvas","Russia","Artist featured in a collection","Ships in a cardboard box","painting, red, blue, spring, white, yellow, canvas, air, colorful, abstract","2016.12.31","Abstract"
"https://www.saatchiart.com/art/Painting-F-K-and-the-Ocean/853900/2824598/view","F.K. and the Ocean","Tory Lin","320","1990","282","9","Acrylic","Canvas","United States","Artist featured in a collection","Ships in a cardboard box","painting, portrait, psychological, Female artist, contemporary, emotional, figurative","2014.09.29","People"
"https://www.saatchiart.com/art/Painting-Canis-7/700719/2864431/view","Canis 7","Will Eskridge","80","145","411","20","Spray Paint","Wood","United States","Artist featured in a collection","Ships in a cardboard box","black, blue, bold, vibrant, wildlife, wolf, bright, yellow, canine, contemporary, animal, minimal","2016.02.04","Animal"
"https://www.saatchiart.com/art/Painting-Portrait-with-Blue-Square/787845/2471721/view","Portrait with Blue Square","Stuart Simler","493.24","1740","153","6","Oil","Canvas","","","Ships in a cardboard box","portrait, raw, carved, expressionist, abstract, figure, layered","2012.06.14","Abstract"
"https://www.saatchiart.com/art/Painting-Four-Letter-Word-for-L/2222/1242661/view","Four Letter Word for L...","Reid McLachlan","2352","3910","2621","11","Oil","Canvas","Canada","Artist featured in a collection","Ships in a crate","portrait, woman, oil painting, code, expressive, figure, oil painting canada artist, realationship","2009.12.31","People"
"https://www.saatchiart.com/art/Painting-City-on-the-coast/656943/3499293/view","City on the coast","Tatiana Bugaenko","185.26","435","113","14","Oil","Canvas","","Artist featured in a collection","Ships in a tube","seascape, blue, sun, water, Cityscape, buildings, city, architecture","2016.12.31","Architecture"
"https://www.saatchiart.com/art/Painting-The-Soapbox/968207/3469658/view","The Soapbox","June Biddy Fitzpatrick","120","740","41","6","Acrylic","Other","United Kingdom","","Ships in a cardboard box","people, black, story, boy, documentary, muted colour, nostalgic","2015.12.31","People"
"https://www.saatchiart.com/art/Painting-32/741095/3187969/view","#32","István Kostura","144.1","357","100","8","Spray Paint, Acrylic","Wood","","","Ships in a cardboard box","recycled, wood, yellow, diagonal stripes, orange","2014.12.31","Abstract"
"https://www.saatchiart.com/art/Painting-sleeping-man/21327/2307619/view","sleeping man","Evi Panagiotakis","2328.54","3910","366","5","Acrylic","Canvas","","Artist featured in a collection","","beach, sea, sleep, body, summer, sun, light, man","2014.09.26","Body"
"https://www.saatchiart.com/art/Painting-80/767696/2360830/view","#80","Julia Badow","62.41","305","1337","15","Acrylic","Canvas","Germany","Artist featured in a collection","Ships in a cardboard box","square, turquoise, violet, germany, color, Female artist, contemporary, cyan, Julia Badow, gold, indigo, magenta","2015.01.04","Abstract"
"https://www.saatchiart.com/art/Painting-Witness/727087/2201117/view","Witness","Golriz Rezvani","231.82","610","1953","52","Acrylic, Ink","Paper","Canada","Featured in One to Watch","","red, gas mask, city, ear, green, guard, orange","2014.10.22","Political"
"https://www.saatchiart.com/art/Painting-Bruegel/324439/2793094/view","Bruegel","Alexander Trifonov","1280","1610","710","18","Oil, Acrylic","Canvas","Russia","","Ships in a tube","duch, brabant, bruegel, netherland, ice, scating","2015.11.18","Still Life"
"https://www.saatchiart.com/art/Painting-Teeter-Before-the-Pounce/420377/1582602/view",""Teeter Before the Pounce"","melissa miller","3456","9650","704","19","Oil","Canvas","United States","Artist featured in a collection","Ships in a crate","oil painting, abstract painting , XL abstract painting, Large abstract painint, B&W abstract painting, tommelise le sage, huge oil painting, large mixed media painting, black and white abstract, minimallism","2010.01.05","Abstract"
"https://www.saatchiart.com/art/Painting-Walls-series/402552/2688461/view","Walls (series)","Marcus Appelberg","185.26","445","199","4","Oil","Canvas","Germany","","Ships in a cardboard box","pink, wall, walls, architechture, cracks","2015.10.31","Architecture"
"https://www.saatchiart.com/art/Painting-Night-Flight-Boston-to-Florence/16857/2910325/view","Night Flight Boston to Florence","Richard Kattman","3840","3275","555","11","Acrylic, Gesso","Canvas","United States","Artist featured in a collection","Ships in a tube","fine art, abstract painting , Color field, contemporary, night flight, Richard Kattman, abstract, green, map, modern","2015.12.31","Abstract"
"https://www.saatchiart.com/art/Painting-Island-Cemetery/403776/2274772/view","Island Cemetery","Kristopher Offill","136.5","560","169","3","Oil","Wood","United States","","","portrait, cemetery, ghost, grave, landscape","2014.04.09","Landscape"
"https://www.saatchiart.com/art/Painting-Sahara/657102/2889707/view","Sahara","William Montgomery","660","2190","194","10","Acrylic, Household","Paper","United States","Artist featured in a collection","Ships in a cardboard box","painting, timeless, Mixed Media, Middle East tone, frenetic behavior","2015.02.11","Abstract"
"https://www.saatchiart.com/art/Painting-Black-corner/543752/1771272/view","Black corner","IChin Liao","1026","1750","450","9","Oil","Canvas, Soft (Yarn, Cotton, Fabric)","Taiwan","","Ships in a cardboard box","black, fineart, oilpainting, abstract expression, composition, contemporary, emotion, abstract, artist, artwork, imagination, intuition","2015.07.21","Abstract"
"https://www.saatchiart.com/art/Painting-Untitled-A-30/739642/3125017/view","Untitled - A/30","Majid Eskandari","324","1355","648","20","Acrylic","Canvas","Canada","Artist featured in a collection","Ships in a cardboard box","red, blue, white, woman, gray, orange","2015.12.31","Women"
"https://www.saatchiart.com/art/Painting-Branches-and-Cloudy-Blue-Sky/872500/3071111/view","Branches and Cloudy Blue Sky","Clifford Palmer","192","215","530","22","Oil","Other","United Kingdom","Artist featured in a collection","Ships in a cardboard box","painting, tree, branches, cloudy sky, landscape","2013.12.31","Landscape"
"https://www.saatchiart.com/art/Painting-Working-in-varnish-69/891427/3128785/view","Working in varnish 69","Johann Nußbächer","2170.94","10650","577","14","Enamel","Wood","Germany","Artist featured in a collection","Ships in a crate","painting, blue, varnish, wood, conceptual, contemporary, expressionism, abstract, Nu�b�cher, modern","2000.12.31","Abstract"
"https://www.saatchiart.com/art/Painting-Exonym-13/889067/3498989/view","Exonym 13","Michelle Louis","896","890","62","39","Acrylic","Canvas","United States","Artist featured in a collection","Ships in a tube","black, bold, tree, white, calligraphy, gestural, architectural, modern, nature","2016.12.31","Geometric"
"https://www.saatchiart.com/art/Painting-Forsythia/781976/2546348/view","Forsythia","Michelle Neifert","2880","5620","1304","56","Acrylic","Canvas","United States","Artist featured in a collection","Ships in a tube","blue, turner, Rothko, Color field, ethereal, abstract, impressionism, landscape, light, minimal, mist, modern","2013.12.29","Landscape"
"https://www.saatchiart.com/art/Painting-cold-day/658904/2917973/view","cold day","Shandor Alexander","761.76","1710","1554","32","Oil","Canvas","Ukraine","Artist featured in a collection","Ships in a cardboard box","sale, shandor, sandor, art, oil","2014.12.31","Landscape"
"https://www.saatchiart.com/art/Painting-the-promise-of-a-golden-pool/154507/3298099/view","the promise of a golden pool","karien deroo","77.42","1240","163","12","Oil","Canvas","Belgium","Artist featured in a collection","Ships in a cardboard box","pink, political, realism, refugee, victim, water, fine art, conceptual, expressionism, figurative, green, man","2014.12.31","Political"
"https://www.saatchiart.com/art/Painting-High-arctic-dawn/96555/3341919/view","High arctic dawn","Simon Cattlin","1201.98","1405","147","5","Oil","Canvas","United Kingdom","Artist featured in a collection","Ships in a cardboard box","sunlight, sunrise, cloudscape, skyscape, clouds, dawn, dawn in the arctic, northern sunrise, nature","2009.12.31","Nature"
"https://www.saatchiart.com/art/Painting-Untitled-A-25/739642/2987344/view","Untitled - A/25","Majid Eskandari","1080","4510","750","27","Acrylic","Canvas","Canada","Artist featured in a collection","Ships in a cardboard box","red, blue, woman, yellow, expressionism, figurative abstraction","2015.12.31","Abstract"
"https://www.saatchiart.com/art/Painting-THE-WAY-HER-RIVER-FLOWS-II/736652/3464793/view","THE WAY HER RIVER FLOWS II","Luca Brandi","271.86","610","199","16","Acrylic","Canvas","Italy","Artist featured in a collection","Ships in a cardboard box","painter, luca, Brandi, abstract, abstraction, minimalism","2016.12.31","Abstract"
"https://www.saatchiart.com/art/Painting-Mysterious-Sky/671216/2279523/view","Mysterious Sky","Chin h Shin","432","1990","3440","118","Oil","Canvas","United States","Featured in the Catalog","Ships in a cardboard box","sky, street, urban, manhattan, canvas, city, cloud, new tork, buildng, empire sate building, oil","2013.12.31","Cities"
